id,message_en,message_ne,is_active,priority,created_at,updated_at
c9251a88-54e4-4fb6-895a-0d0a46e28fb7,"Grand Opening Special: 10% off on all repairs this week!","भव्य उद्घाटन विशेष: यस हप्ता सबै मर्मतमा १०% छुट!",true,10,2026-01-11 04:11:24.451484+00,2026-01-11 04:11:24.451484+00
76292ab8-fff2-4f97-8faf-b99eef32545b,"Fast mobile repair services - Most repairs completed same day!","छिटो मोबाइल मर्मत सेवा - अधिकांश मर्मत सोही दिन पूरा!",true,5,2026-01-11 04:11:24.451484+00,2026-01-11 04:11:24.451484+00
d4f87b1c-1234-4abc-9d2f-8f9e2e5f1234,"Battery replacement discount for students!","विद्यार्थीहरूका लागि ब्याट्री प्रतिस्थापनमा छुट!",true,7,2026-01-11 04:12:24.451484+00,2026-01-11 04:12:24.451484+00
a3c91e2d-5678-4bcd-9e2f-3a4b5c6d7890,"Screen repair services now 20% off!","स्क्रिन मर्मत सेवा अब २०% छुटमा!",true,8,2026-01-11 04:13:24.451484+00,2026-01-11 04:13:24.451484+00
b7f23c9e-2345-4def-8a1b-5c6d7e8f9012,"Free diagnostic for all smartphones today!","आज सबै स्मार्टफोनको लागि निःशुल्क परीक्षण!",true,6,2026-01-11 04:14:24.451484+00,2026-01-11 04:14:24.451484+00
c1d34e5f-3456-4abc-9d7f-6e7f8g9h0123,"Holiday special: Trade-in your old phone!","विदा विशेष: पुरानो फोन ट्रेइन् गर्नुहोस्!",true,9,2026-01-11 04:15:24.451484+00,2026-01-11 04:15:24.451484+00
d2e45f6g-4567-4bcd-8e3f-7g8h9i0j1234,"Free tempered glass with every repair!","हरेक मर्मतको साथ निःशुल्क टेम्पर्ड ग्लास!",true,4,2026-01-11 04:16:24.451484+00,2026-01-11 04:16:24.451484+00
e3f56g7h-5678-4def-9f4g-8h9i0j1k2345,"Weekend offer: Buy one get one free accessory!","सप्ताहन्त प्रस्ताव: एउटा किन्नुहोस्, अर्को निःशुल्क पाउनुहोस्!",true,3,2026-01-11 04:17:24.451484+00,2026-01-11 04:17:24.451484+00
f4g67h8i-6789-4abc-0g5h-9i0j1k2l3456,"Quick software update services available!","छिटो सफ्टवेयर अपडेट सेवा उपलब्ध!",true,2,2026-01-11 04:18:24.451484+00,2026-01-11 04:18:24.451484+00
g5h78i9j-7890-4bcd-1h6i-0j1k2l3m4567,"Holiday repair package discounts up to 30%!","छुट्टिको मर्मत प्याकेजमा ३०% सम्म छुट!",true,1,2026-01-11 04:19:24.451484+00,2026-01-11 04:19:24.451484+00
